province ,location,co ordinates,morph,sex,age,notes/observation,bird condition
Kwazulu Natal,Ndumo,S26.86085 E32.24689,light,male,adult,incidental,1
Kwazulu Natal,Ndumo,S26.84738 E32.23127,light,female,adult,incidental,1
Kwazulu Natal,Sodwana Bay,S27.47068 E32.59651,light,male,adult,incidental,1
Kwazulu Natal,Pietermaritzburg,S29.6219 E30.406325,light,male,adult,nest,1
Kwazulu Natal,Pietermaritzburg,S29.6219 E30.406325,light,female,adult,nest,1
Kwazulu Natal,Hillcrest,S29.764983 E30.742,light,male,adult,nest,1
Kwazulu Natal,Hillcrest,S29.764983 E30.742,light,female,adult,nest,1
Kwazulu Natal,Pietermaritzburg,S29.60028 E30.44438,light,male,adult,nest,1
Kwazulu Natal,Lynfield Park,S29.682614 E30.510239,light,female,adult,nest,1
Kwazulu Natal,"Durban, Musgrave",S29.84532 E31.00668,light,male,adult,nest,1
Kwazulu Natal,"Durban, Glenwood",S29.84532 E31.00668,light,female,adult,nest,1
Kwazulu Natal,"Durban, Glenwood",S29.86347 E30.9882,light,male,adult,nest,1
Kwazulu Natal,"Durban, Glenwood",S29.86347 E30.9882,light,female,adult,nest,1
Kwazulu Natal,Pietermaritzburg,S29.60028 E30.44438,light,female,adult,nest,1
Kwazulu Natal,"Durban, Sherwood",S29.831931 E30.965461,light,male,adult,incidental,1
Kwazulu Natal,"Durban, Berea",S29.841647 E30.976572,light,male,adult,incidental,1
Kwazulu Natal,"Durban, Westridge",S29.857744 E30.977708,light,male,adult,incidental,1
Kwazulu Natal,Howick,S29.479781 E30.236361,light,male,adult,nest,1
Kwazulu Natal,Cranford Country lodge,S29.377333 E30.151439,light,male,adult,incidental,1
Kwazulu Natal,Escourt,S29.019736 E29.867306,light,female,adult,nest,1
Kwazulu Natal,Mimosadale,S29.087331 E29.963208,light,male,adult,nest,1
Kwazulu Natal,Umhlanga,S29.714444 E31.043308,light,male,adult,nest,1
Kwazulu Natal,Umhlanga,S29.714444 E31.043308,light,female,adult,nest,1
Kwazulu Natal,Pietermaritzburg,S29.61825 E30.390411,light,male,adult,nest,1
Kwazulu Natal,Eshowe,S28.775556 E31.489306,light,female,adult,nest,1
Kwazulu Natal,Scottburgh,S30.29011 E30.73448,light,male,adult,nest,1
Kwazulu Natal,Scottburgh,S30.29011 E30.73448,light,female,adult,nest,1
Kwazulu Natal,Kosi Bay,S28.562774 E32.353681,light,male,adult,incidental,1
Kwazulu Natal,Pietermaritzburg,S29.60918 E30.38103,light,male,adult,nest,1
Kwazulu Natal,Pietermaritzburg,S29.58671 E30.37784,light,female,adult,nest,1
Kwazulu Natal,Pietermaritzburg,S29.58671 E30.37784,light,male,adult,nest,1
Kwazulu Natal,Durban,S29.584177 E30.88465,light,female,adult,nest,1
Kwazulu Natal,"Durban, Kidd place",S29.86273 E30.88303,light,male,adult,nest,1
Kwazulu Natal,"Durban, Kidd place",S29.86273 E30.88303,light,female,adult,nest,1
Kwazulu Natal,Pietermaritzburg,S29.68273 E30.50965,light,female,adult,nest,1
Kwazulu Natal,Hillcrest ,S29.779999 E30.762779,light,female,adult,nest,1
Mpumalanga,White River,S25.305567 E30.993207,light,female,adult,incidental,1
Eastern Cape,Kenton on Sea,S33.68777 E26.66722,unknown,female,juvenile,incidental,1
