type,distance
pure,102095.56777807501
pure,37494.490906046856
pure,29048.77915384548
pure,49919.775501828924
pure,459583.7654209812
pure,460728.01742221904
pure,253123.5012922121
pure,439925.33737473923
pure,51105.12847446922
pure,460468.20241502684
pure,308968.6808956834
pure,80332.12829972502
pure,460641.5721983202
pure,253586.72360323562
pure,462241.5840640442
pure,73658.05688200511
pure,460272.00318303704
pure,468265.1898850013
pure,8922.52604815205
pure,31156.165625976413
pure,460636.1868398806
pure,40240.40388553976
pure,7116.133668047658
pure,254056.70289953426
pure,461729.5835040199
pure,45072.039033234694
pure,886584.8011151338
pure,460327.30379762733
pure,8922.52604815205
pure,7133.8892265656905
pure,54274.39552101635
pure,228.63158585993517
pure,5047.834692996632
pure,63115.18375961359
pure,45072.039033234694
pure,204353.54602452423
pure,176317.64407904333
pure,81297.98423591469
pure,127651.62627041653
pure,150349.27535403456
pure,104443.57185983763
pure,40449.80340700082
pure,94561.14216693214
pure,148074.59214035163
pure,80512.404371008
pure,34603.56455986457
pure,150349.27535403456
pure,40151.938206319064
pure,37930.34316063655
pure,161647.9566709273
pure,39913.66357163095
pure,84761.30031329575
pure,100189.73084401923
pure,35720.87277246574
pure,120925.90786308446
pure,153667.30006284715
pure,132735.36854394543
pure,120925.29393909062
pure,120783.66718663929
pure,94711.52418231526
pure,70570.15798425478
pure,125413.81072670825
pure,141743.43609740242
pure,132980.76956713985
pure,143667.79440236872
pure,133532.37054339523
pure,143684.17366505854
pure,18956.56951962134
pure,147798.2136457339
pure,40197.478512303
pure,46610.42929653385
pure,157450.3262291198
pure,163261.06118836242
pure,40459.72069995773
pure,215187.27932844704
hybrid,29175.660931527826
hybrid,39324.71215591533
hybrid,38437.78126711351
hybrid,125117.8035185658
hybrid,104546.34864933882
hybrid,40506.82996363785
hybrid,210442.07485239053
hybrid,23980.64607015538
hybrid,55152.92305466615
hybrid,33593.163509827864
hybrid,40505.59162761454
hybrid,40505.59162761454
hybrid,40505.59162761454
hybrid,40505.59162761454
hybrid,40505.59162761454
hybrid,37477.26168970825
hybrid,31726.83728644944
hybrid,29472.985436327377
hybrid,34622.60371015667
hybrid,80332.12829972502
hybrid,99373.66048855313
hybrid,26779.120134894514
hybrid,39516.77490087643
hybrid,41084.60131054647
hybrid,40490.57183056333
hybrid,86258.71102784495
hybrid,161676.03014378023
hybrid,40197.54456937914
hybrid,165012.77994445577
